condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,13402,13402,0,405340.559,-0.837,-0.051,0.082,0.539,2655,0,9,2202,2525,316,0,556,36,0.000,153,1,0.240,0.013,-0.160,-0.080,-0.160,-0.197,-0.003,0.983,0.010,0.008,-0.004,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13402,13402,0,405345.559,-0.837,-0.051,0.082,0.539,2663,0,11,2205,2539,319,0,553,36,0.000,153,1,0.235,0.013,-0.100,-0.140,-0.160,-0.198,-0.004,0.984,0.010,0.008,0.000,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13407,13407,0,405350.559,-0.837,-0.051,0.082,0.539,2656,0,5,2201,2533,315,0,551,36,0.000,153,1,0.235,0.010,-0.100,-0.140,-0.160,-0.198,-0.004,0.983,0.010,-0.002,0.008,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13407,13407,0,405355.559,-0.837,-0.051,0.082,0.539,2665,0,9,2199,2531,314,0,557,36,0.000,153,1,0.166,0.008,-0.040,-0.140,-0.080,-0.198,-0.003,0.983,0.008,-0.002,0.008,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13407,13407,0,405360.559,-0.837,-0.052,0.082,0.539,2663,0,9,2200,2534,317,0,555,36,0.000,153,1,0.190,0.009,-0.100,-0.140,-0.080,-0.198,-0.004,0.983,0.008,-0.004,0.006,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13407,13407,0,405365.561,-0.837,-0.052,0.082,0.539,2659,0,9,2199,2543,318,0,555,36,0.000,153,1,0.120,0.012,-0.040,-0.080,-0.080,-0.198,-0.004,0.983,0.010,-0.006,0.006,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13439,13439,0,405370.559,-0.837,-0.052,0.082,0.539,2664,0,9,2201,2567,327,0,553,36,0.000,153,1,0.180,0.012,0.080,-0.140,-0.080,-0.197,-0.003,0.983,0.010,-0.006,0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13439,13439,0,405375.560,-0.837,-0.052,0.082,0.539,2643,0,4,2223,2535,327,0,553,36,0.000,153,1,0.115,0.006,0.080,-0.080,-0.020,-0.199,-0.003,0.982,0.002,-0.006,0.000,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13439,13439,0,405380.559,-0.837,-0.051,0.082,0.539,2658,0,7,2199,2523,320,0,553,36,0.000,153,1,0.085,0.000,0.020,-0.020,-0.080,-0.198,-0.002,0.982,0.000,0.000,-0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13439,13439,0,405385.559,-0.837,-0.052,0.082,0.539,2660,0,9,2201,2535,317,0,553,36,0.000,153,1,0.085,0.000,0.020,-0.020,-0.080,-0.198,-0.003,0.983,0.000,0.000,-0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13439,13439,0,405390.559,-0.837,-0.052,0.082,0.539,2651,0,8,2196,2537,317,0,549,36,0.000,153,1,0.085,0.004,0.020,-0.020,-0.080,-0.198,-0.003,0.983,0.004,0.002,0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13439,13439,0,405395.559,-0.837,-0.052,0.082,0.539,2656,0,5,2200,2535,325,0,552,36,0.000,153,1,0.085,0.004,0.080,-0.020,-0.020,-0.198,-0.003,0.982,0.004,0.002,0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13471,13471,0,405400.559,-0.837,-0.052,0.082,0.539,2650,0,6,2195,2541,317,0,551,36,0.000,153,1,0.085,0.004,0.080,-0.020,-0.020,-0.196,-0.003,0.982,0.004,0.002,-0.006,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13471,13471,0,405405.559,-0.837,-0.051,0.082,0.539,2673,0,8,2213,2541,331,0,557,36,0.000,153,1,0.130,0.013,0.080,0.100,-0.020,-0.197,-0.003,0.984,0.004,0.012,-0.006,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13471,13471,0,405410.559,-0.837,-0.051,0.082,0.539,2660,0,12,2203,2545,320,0,556,36,0.000,153,1,0.173,0.013,0.140,0.100,-0.020,-0.198,-0.002,0.982,0.004,0.012,-0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13471,13471,0,405415.561,-0.837,-0.051,0.082,0.539,2663,0,10,2205,2547,320,0,555,36,0.000,153,1,0.134,0.010,0.080,0.100,0.040,-0.197,-0.002,0.982,-0.002,0.010,-0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13492,13492,0,405420.560,-0.837,-0.051,0.082,0.539,2664,0,8,2205,2569,326,0,555,36,0.000,153,1,0.205,0.004,0.080,0.160,0.100,-0.197,-0.004,0.984,-0.002,0.004,-0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,13492,13492,0,405425.559,-0.837,-0.051,0.082,0.539,2665,0,9,2215,2539,329,0,556,36,0.000,153,1,0.214,0.003,0.140,0.160,-0.020,-0.198,-0.003,0.982,0.002,0.002,-0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
